dataset_reader.sample	trainer.optimizer.lr	model.encoder.architecture.type	best_validation_accuracy	training_duration
10000	10000	BERT Large	0.540	10000
10000	10000	BERT Large	0.578	10000
10000	10000	BERT Large	0.589	10000
10000	10000	BERT Large	0.410	10000
10000	10000	BERT Large	0.532	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large	0.565	10000
10000	10000	BERT Large	0.545	10000
10000	10000	BERT Large	0.484	10000
10000	10000	BERT Large	0.555	10000
10000	10000	BERT Large	0.593	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large	0.555	10000
10000	10000	BERT Large	0.581	10000
10000	10000	BERT Large	0.606	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large	0.000	10000
10000	10000	BERT Large MNLI	0.529	10000
10000	10000	BERT Large MNLI	0.527	10000
10000	10000	BERT Large MNLI	0.000	10000
10000	10000	BERT Large MNLI	0.562	10000
10000	10000	BERT Large MNLI	0.530	10000
10000	10000	BERT Large MNLI	0.545	10000
10000	10000	BERT Large MNLI	0.565	10000
10000	10000	BERT Large MNLI	0.513	10000
10000	10000	BERT Large MNLI	0.000	10000
10000	10000	BERT Large MNLI	0.552	10000
10000	10000	BERT Large MNLI	0.504	10000
10000	10000	BERT Large MNLI	0.545	10000
10000	10000	BERT Large MNLI	0.527	10000
10000	10000	BERT Large MNLI	0.514	10000
10000	10000	BERT Large MNLI	0.544	10000
10000	10000	BERT Large MNLI	0.596	10000
10000	10000	BERT Large MNLI	0.531	10000
10000	10000	BERT Large MNLI	0.568	10000
10000	10000	BERT Large MNLI	0.522	10000
10000	10000	BERT Large MNLI	0.533	10000
