trainer.optimizer.lr,training_duration,dataset_reader.sample,model.encoder.architecture.type,best_validation_accuracy
1,1,10000,BERT,0.540
1,1,10000,BERT,0.578
1,1,10000,BERT,0.589
1,1,10000,BERT,0.410
1,1,10000,BERT,0.532
1,1,10000,BERT,0.000
1,1,10000,BERT,0.565
1,1,10000,BERT,0.545
1,1,10000,BERT,0.484
1,1,10000,BERT,0.555
1,1,10000,BERT,0.593
1,1,10000,BERT,0.000
1,1,10000,BERT,0.000
1,1,10000,BERT,0.000
1,1,10000,BERT,0.555
1,1,10000,BERT,0.581
1,1,10000,BERT,0.606
1,1,10000,BERT,0.000
1,1,10000,BERT,0.000
1,1,10000,BERT,0.000
1,1,10000,BERT on STILTs,0.529
1,1,10000,BERT on STILTs,0.527
1,1,10000,BERT on STILTs,0.000
1,1,10000,BERT on STILTs,0.562
1,1,10000,BERT on STILTs,0.530
1,1,10000,BERT on STILTs,0.545
1,1,10000,BERT on STILTs,0.565
1,1,10000,BERT on STILTs,0.513
1,1,10000,BERT on STILTs,0.000
1,1,10000,BERT on STILTs,0.552
1,1,10000,BERT on STILTs,0.504
1,1,10000,BERT on STILTs,0.545
1,1,10000,BERT on STILTs,0.527
1,1,10000,BERT on STILTs,0.514
1,1,10000,BERT on STILTs,0.544
1,1,10000,BERT on STILTs,0.596
1,1,10000,BERT on STILTs,0.531
1,1,10000,BERT on STILTs,0.568
1,1,10000,BERT on STILTs,0.522
1,1,10000,BERT on STILTs,0.533
