C	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	accuracy	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	embedding	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.architecture.embedding_dim	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.type	ngram_range	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	penalty	random_state	solver	stopwords	test_data_path	tol	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss	weight
0.6417807899099632						0.3060853769300636		0.3060853769300636			8544															LR						[1, 3]						l1	39922.0	liblinear	english		0.0008665944633562401														1.4413487911224363																	tf-idf
0.27970889738965504						0.3696639418710264		0.3696639418710264			8544															LR						[1, 2]						l2	65720.0	liblinear			0.00013583210646682858														1.0243198871612549																	tf-idf
0.9798153539960432						0.3678474114441417		0.3678474114441417			8544															LR						[1, 2]						l2	8541.0	liblinear	english		0.004373211627419079														0.6759419441223145																	tf-idf
0.9331236013316182						0.3079019073569482		0.3079019073569482			8544															LR						[2, 3]						l2	12824.0	liblinear	english		0.006214555818340872														0.9028120040893556																	tf
0.7850112693434119						0.3841961852861036		0.3841961852861036			8544															LR						[1, 2]						l2	95392.0	liblinear			0.001558784686339099														1.00583815574646																	tf-idf
0.6816581283068057						0.39509536784741145		0.39509536784741145			8544															LR						[1, 3]						l2	66660.0	liblinear			0.002073017496471235														2.6708641052246094																	tf
0.5412273314473005						0.2688465031789282		0.2688465031789282			8544															LR						[2, 3]						l1	71102.0	liblinear			0.0032831286810167783														1.9469389915466309																	tf-idf
0.1035257269854728						0.25340599455040874		0.25340599455040874			8544															LR						[2, 3]						l1	17813.0	liblinear	english		0.00012628577094772522														0.9400019645690918																	tf-idf
0.5390581767866033						0.3751135331516803		0.3751135331516803			8544															LR						[1, 3]						l1	41612.0	liblinear			0.0013001912395836856														3.006686925888061																	tf
0.6444667686173938						0.34150772025431425		0.34150772025431425			8544															LR						[1, 3]						l1	48737.0	liblinear			0.0008491263100308257														3.027021169662476																	tf-idf
0.0003642704246108464						0.28065395095367845		0.28065395095367845			8544															LR						[1, 2]						l2	16091.0	liblinear	english		0.003984023679819914														0.6223340034484863																	tf
0.8790083054598502						0.26975476839237056		0.26975476839237056			8544															LR						[2, 3]						l1	93530.0	liblinear	english		0.0010052568845740188														1.210521936416626																	tf
0.2516451077617265						0.36603088101725706		0.36603088101725706			8544															LR						[1, 3]						l2	83328.0	liblinear	english		0.001488011700564649														1.1983649730682373																	tf
0.06626836559791628						0.3369663941871026		0.3369663941871026			8544															LR						[1, 2]						l1	41087.0	liblinear			0.0023100789978338808														1.1537039279937744																	tf
0.322654561107233						0.3887375113533152		0.3887375113533152			8544															LR						[1, 2]						l1	3700.0	liblinear			0.006193543843198822														1.111332893371582																	binary
0.4945290970366925						0.37693006357856496		0.37693006357856496			8544															LR						[1, 2]						l2	31825.0	liblinear	english		0.0004125938635886878														0.7448070049285889																	binary
0.9951880352908916						0.3178928247048138		0.3178928247048138			8544															LR						[2, 3]						l1	9616.0	liblinear			0.0001335452332003193														2.9325802326202397																	binary
0.5305650574293506						0.3060853769300636		0.3060853769300636			8544															LR						[1, 2]						l1	84.0	liblinear	english		0.008001543009954912														0.7100348472595215																	tf-idf
0.5925825066220166						0.34150772025431425		0.34150772025431425			8544															LR						[1, 2]						l1	50392.0	liblinear	english		0.003328624823261343														0.7865946292877197																	binary
0.3745055706097328						0.3542234332425068		0.3542234332425068			8544															LR						[2, 3]						l2	16640.0	liblinear			0.00019470149383005815														1.8106701374053955																	binary
0.02799350157651093						0.2724795640326976		0.2724795640326976			8544															LR						[1, 2]						l1	79515.0	liblinear	english		0.0025780370302606725														0.6666669845581055																	tf
0.5558220780873809						0.3723887375113533		0.3723887375113533			8544															LR						[1, 2]						l1	46505.0	liblinear			0.00014579570675592223														1.5556108951568604																	tf
0.8230566784352332						0.3206176203451408		0.3206176203451408			8544															LR						[2, 3]						l1	40421.0	liblinear			0.0005022361933045159														2.6383490562438965																	binary
0.13522234076396222						0.3524069028156221		0.3524069028156221			8544															LR						[2, 3]						l2	41675.0	liblinear			0.0008675484797047														1.6278250217437744																	binary
0.14871913938950054						0.3169845594913715		0.3169845594913715			8544															LR						[1, 3]						l1	31447.0	liblinear	english		0.0007220845155536159														1.423259973526001																	tf
0.12900042053112315						0.3978201634877384		0.3978201634877384			8544															LR						[1, 2]						l2	47582.0	liblinear			0.00013569088333252596														1.5573241710662842																	binary
0.8612032664418904						0.2851952770208901		0.2851952770208901			8544															LR						[2, 3]						l2	54939.0	liblinear	english		0.0017896631655635725														1.0764310359954834																	tf-idf
0.9871155445110854						0.3469573115349682		0.3469573115349682			8544															LR						[2, 3]						l2	52269.0	liblinear			0.0014771653064456715														1.7859828472137451																	tf-idf
0.6219662236263129						0.3533151680290645		0.3533151680290645			8544															LR						[2, 3]						l2	28241.0	liblinear			0.0005312487163932518														1.8864731788635252																	binary
0.5953791090927352						0.3642143505903724		0.3642143505903724			8544															LR						[1, 2]						l2	97828.0	liblinear	english		0.0075485014045383126														0.7528178691864014																	tf-idf
0.7548684811100702						0.3505903723887375		0.3505903723887375			8544															LR						[2, 3]						l2	56043.0	liblinear			0.0007644934935339818														1.9461050033569336																	binary
0.30512695753695074						0.3106267029972752		0.3106267029972752			8544															LR						[1, 3]						l1	52444.0	liblinear			0.0005555833914342609														2.880321979522705																	tf-idf
0.764655875527256						0.3696639418710264		0.3696639418710264			8544															LR						[1, 2]						l1	78343.0	liblinear			0.00022327329708934432														1.3828392028808594																	tf
0.826803289596448						0.3696639418710264		0.3696639418710264			8544															LR						[1, 3]						l2	68086.0	liblinear	english		0.0008391214649163283														1.26344895362854																	tf
0.197912493263362						0.36693914623069934		0.36693914623069934			8544															LR						[1, 2]						l2	36590.0	liblinear			0.006302274643408815														0.94006609916687																	tf-idf
0.20741294343674374						0.368755676657584		0.368755676657584			8544															LR						[1, 2]						l2	20648.0	liblinear	english		0.00031973558492370537														0.7112808227539062																	binary
0.6999293870534135						0.3142597638510445		0.3142597638510445			8544															LR						[2, 3]						l1	23368.0	liblinear			0.002054234182780054														2.245748996734619																	binary
0.8620547618628337						0.39146230699364215		0.39146230699364215			8544															LR						[1, 3]						l2	13355.0	liblinear			0.0002314633036898916														3.0545809268951416																	tf
0.8207406429496983						0.3642143505903724		0.3642143505903724			8544															LR						[1, 2]						l1	9540.0	liblinear			0.00030403621721690564														1.357828140258789																	tf-idf
0.26925653369318203						0.2833787465940055		0.2833787465940055			8544															LR						[2, 3]						l2	265.0	liblinear	english		0.0034819767944626943														0.9110612869262696																	tf
0.16416291189312582						0.3496821071752952		0.3496821071752952			8544															LR						[1, 3]						l2	30369.0	liblinear			0.0001963053862985314														1.969486713409424																	tf-idf
0.15504277677249326						0.2870118074477748		0.2870118074477748			8544															LR						[2, 3]						l1	53814.0	liblinear			0.00023206313126003864														2.3992788791656494																	tf
0.8478227641135163						0.3732970027247957		0.3732970027247957			8544															LR						[1, 3]						l2	25379.0	liblinear	english		0.001084946355704797														1.2751059532165527																	binary
