dataset_reader.sample	trainer.optimizer.lr	model.encoder.architecture.type	best_validation_accuracy	training_duration
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.675	10000
10000	10000	BERT Large	0.668	10000
10000	10000	BERT Large	0.690	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.650	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.473	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.740	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.527	10000
10000	10000	BERT Large	0.729	10000
10000	10000	BERT Large MNLI	0.816	10000
10000	10000	BERT Large MNLI	0.783	10000
10000	10000	BERT Large MNLI	0.798	10000
10000	10000	BERT Large MNLI	0.812	10000
10000	10000	BERT Large MNLI	0.776	10000
10000	10000	BERT Large MNLI	0.816	10000
10000	10000	BERT Large MNLI	0.819	10000
10000	10000	BERT Large MNLI	0.805	10000
10000	10000	BERT Large MNLI	0.798	10000
10000	10000	BERT Large MNLI	0.787	10000
10000	10000	BERT Large MNLI	0.805	10000
10000	10000	BERT Large MNLI	0.527	10000
10000	10000	BERT Large MNLI	0.809	10000
10000	10000	BERT Large MNLI	0.787	10000
10000	10000	BERT Large MNLI	0.834	10000
10000	10000	BERT Large MNLI	0.819	10000
10000	10000	BERT Large MNLI	0.794	10000
10000	10000	BERT Large MNLI	0.798	10000
10000	10000	BERT Large MNLI	0.809	10000
10000	10000	BERT Large MNLI	0.801	10000
