Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
0	14	0.588302752293578	0.6748607073511396	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	23	64	basic	0.4		attention		True		353.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2531.288	695	829	1233	927	1391	833	867	1021	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	6.8213231517751224e-06	adam	10	+accuracy	0.5884393063583815	2531.288	103.0	23	695	829	849	927	1391	833	793	1021	0.676250820313025	0	0.5814220183486238	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.674099611384528
1	7	0.7935779816513762	1.0329249777964182	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	16	64	basic	0.0					50.0			[1, 2, 3, 4, 5]	277.0		441.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2528.52	711	691	639	701	661	743	655	673	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0015776810198138663	adam	10	+accuracy	1.0	2528.52	54.0	16	711	659	639	701	661	743	655	673	0.0006109172939707379	0	0.7924311926605505	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.151300311088562
2	18	0.6089449541284404	0.6755642720631191	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	27	64	basic	0.2					50.0			[1, 2, 3, 4, 5, 6, 7]	136.0		469.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2528.2039999999997	737	713	725	639	711	6584	699	731	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.5655821489793237e-06	adam	10	+accuracy	0.5778901734104046	2528.2039999999997	89.0	27	737	613	675	639	671	6554	637	731	0.6795642578273738	0	0.6077981651376146	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6753417040620532
3	7	0.7740825688073395	0.5079099386930466	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	16	64	basic	0.1					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	201.0		210.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2528.876	711	665	639	701	677	713	655	649	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00012743770653094602	adam	10	+accuracy	0.9778901734104046	2528.864	63.00000000000001	16	0	665	0	0	677	0	0	649	0.12329961318488515	0	0.7672018348623854	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5338027839149747
4	3	0.5309633027522935	0.6915662671838488	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	12	64	basic	0.3		attention		True		303.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2529.656	887	669	857	653	723	1127	753	1215	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	2.32801112212736e-06	adam	10	+accuracy	0.5469653179190751	2529.652	56.0	12	847	669	857	653	723	1127	753	1215	0.6897635727847388	0	0.5240825688073395	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6897612980433873
5	19	0.7568807339449541	0.5138413693223681	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	28	64	basic	0.4					50.0			[1, 2, 3, 4, 5]	506.0		297.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2526.156	691	753	733	715	673	1928	677	705	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	3.228489403663958e-05	adam	10	+accuracy	0.7897398843930635	2526.156	94.0	28	661	753	715	647	651	1928	677	705	0.4664703074398391	0	0.7557339449541285	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5131839790514537
6	15	0.8107798165137615	1.096781428371157	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	24	64	basic	0.3					50.0			[1, 2, 3, 4, 5, 6]	427.0		226.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2528.744	631	699	709	763	733	737	731	593	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.001472668133266186	adam	10	+accuracy	1.0	2528.744	88.0	24	621	683	709	763	733	627	609	0	0.000579098188275591	0	0.8073394495412844	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.1151046774217062
7	30	0.7729357798165137	0.5654530993529728	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	39	64	basic	0.3												linear					bag_of_word_counts	classifier	2520.312	563	563	563	563	563	563	563	563	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0004896726774578843	adam	10	+accuracy	0.8549132947976879	2520.312	2320.0	39	563	563	563	563	563	563	563	563	0.5083412949098359	0	0.7729357798165137	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5653950231415885
8	12	0.7924311926605505	0.4569151039634432	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	21	64	basic	0.3			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2525.64	573	573	573	573	573	573	571	573	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0012103283281364127	adam	10	+accuracy	0.8716763005780347	2525.64	66.0	21	573	573	573	167	555	573	157	573	0.3478608071257215	0	0.7901376146788991	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4522479389395033
9	15	0.786697247706422	0.5096644950764521	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	24	64	basic	0.1												linear					bag_of_word_counts	classifier	2532.264	563	563	563	563	563	563	563	563	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0008899543132218752	adam	10	+accuracy	0.91257225433526	2532.264	1434.0	24	563	561	563	563	563	563	563	563	0.3983874012024031	0	0.7855504587155964	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5076393442494529
