Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
0	1	0.3442325158946412	3.2356470789228173	False		True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.0												linear				bag_of_word_counts	classifier	2533.928	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.0874	adam	5	+accuracy	0.9804541198501872	2533.924	00:06:38	5	561	0	561	561	561	561	561	561	0.06435263314029753	0	0.33242506811989103	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.029064559936524
1	0	0.3505903723887375	2.2956055334636143	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.4												linear				bag_of_word_counts	classifier	2535.8	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.0642	adam	5	+accuracy	0.7214419475655429	2535.8	00:05:40	4	561	561	561	561	561	561	561	561	1.0224688981802723	0	0.3405994550408719	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.552477673121861
2	12	0.3987284287011808	1.3996762820652553	False		True	single_id	just_spaces	semisupervised_text_classification_json	16	32	basic	0.1												linear				bag_of_word_counts	classifier	2531.072	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.0005	adam	5	+accuracy	0.8155430711610487	2531.072	00:19:08	16	561	561	561	561	561	561	561	561	0.8573720287740899	0	0.3923705722070845	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.3941283600670948
3	3	0.3542234332425068	3.5314586094447544	False		True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.1												linear				bag_of_word_counts	classifier	2531.38	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.0775	adam	5	+accuracy	0.9102294007490636	2531.38	00:08:56	7	561	561	561	561	561	561	561	561	0.2708525722253412	0	0.3442325158946412	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.9649349961962015
4	0	0.36603088101725706	1.5130805560520717	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.0												linear				bag_of_word_counts	classifier	2532.268	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.0205	adam	5	+accuracy	0.9637172284644194	2532.256	00:05:40	4	561	561	561	561	561	561	561	561	0.18919385066918665	0	0.3533151680290645	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.964947782244001
5	0	0.36239782016348776	2.379266885348729	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.1												linear				bag_of_word_counts	classifier	2533.7	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.065	adam	5	+accuracy	0.9091760299625468	2533.688	00:05:43	4	561	561	561	561	561	513	561	561	0.2547125600501616	0	0.3378746594005449	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.30068621635437
6	9	0.3551316984559492	3.8024365152631487	False		True	single_id	just_spaces	semisupervised_text_classification_json	13	32	basic	0.0												linear				bag_of_word_counts	classifier	2538.248	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.0644	adam	5	+accuracy	0.9985955056179776	2538.248	00:15:48	13	561	561	561	561	561	561	561	561	0.011876869665926205	0	0.3405994550408719	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.265144947596959
7	3	0.34877384196185285	2.55841110433851	False		True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.0												linear				bag_of_word_counts	classifier	2531.544	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.05	adam	5	+accuracy	0.9948501872659176	2531.54	00:08:59	7	561	561	561	561	561	561	561	561	0.04148670476739215	0	0.34150772025431425	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.098752682549613
8	2	0.3587647593097185	2.86339168548584	False		True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.2												linear				bag_of_word_counts	classifier	2532.512	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.059000000000000004	adam	5	+accuracy	0.8662219101123596	2532.504	00:05:08	6	0	0	0	0	561	0	561	561	0.3967395382427544	0	0.3387829246139873	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.771120405197144
9	6	0.3587647593097185	3.015849362100873	False		True	single_id	just_spaces	semisupervised_text_classification_json	10	32	basic	0.0												linear				bag_of_word_counts	classifier	2536.14	561	561	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1.0	0.0491	adam	5	+accuracy	0.9971910112359552	2536.132	00:12:14	10	561	561	561	561	561	561	561	561	0.02545140209967054	0	0.3433242506811989	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.5017653533390587
